row_id,cow_id,age,stage,sex,date_birth,date_death,date_death_expected,is_owned,cause_removal,is_replacement,is_introduced,is_in_common_ranch,is_grazed,parity,date_last_delivery,date_got_pregnant,date_dried,n_ai,day_heat,day_last_heat,day_last_heat_detected,n_heat_from_ai,infection_status,date_ial,date_ipl,date_ipl_expected,date_ebl,date_ebl_expected,cause_infection,susceptibility_ial_to_ipl,susceptibility_ipl_to_ebl,area_id,months_in_area,chamber_id,is_isolated,i_month
,166,6,calf,female,27,,101,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,14,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,170,6,calf,female,27,,128,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,5,,,,s,,,,,,,TRUE,FALSE,2,,,,33
,173,6,calf,female,27,,77,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,13,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,175,5,calf,female,28,,88,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,12,,,,s,,,,,,,TRUE,FALSE,2,,,,33
,176,5,calf,female,28,,55,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,25,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,177,4,calf,female,29,,54,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,7,,,,s,,,,,,,FALSE,FALSE,2,,,,33
,179,4,calf,female,29,,103,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,1,,,,s,,,,,,,TRUE,FALSE,2,,,,33
,181,2,calf,female,31,,149,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,17,,,,s,,,,,,,FALSE,FALSE,,,,,33
,182,2,calf,female,31,,97,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,22,,,,s,,,,,,,FALSE,FALSE,,,,,33
,183,2,calf,female,31,,89,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,10,,,,s,,,,,,,FALSE,FALSE,,,,,33
,184,2,calf,female,31,,93,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,3,,,,s,,,,,,,FALSE,FALSE,,,,,33
,186,2,calf,female,31,,71,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,6,,,,s,,,,,,,FALSE,FALSE,,,,,33
,187,2,calf,female,31,,97,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,9,,,,s,,,,,,,FALSE,FALSE,,,,,33
,192,0,calf,female,33,,97,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,4,,,,s,,,,,,,TRUE,TRUE,,,,,
,193,0,calf,male,33,,67,FALSE,sold,FALSE,FALSE,FALSE,FALSE,0,,,,0,21,,,,s,,,,,,,FALSE,FALSE,,,,,
,194,0,calf,male,33,,88,FALSE,sold,FALSE,FALSE,FALSE,FALSE,0,,,,0,16,,,,s,,,,,,,FALSE,FALSE,,,,,
,195,0,calf,male,33,,95,FALSE,sold,FALSE,FALSE,FALSE,FALSE,0,,,,0,20,,,,s,,,,,,,FALSE,FALSE,,,,,
2,2,125,milking,female,-91,,55,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,8,27,32,,0,,12,12,0,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,34
4,4,119,milking,female,-85,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,8,34,,,0,9,14,30,0,ial,-34,,,,,initial,FALSE,FALSE,2,-6,,FALSE,34
5,5,117,milking,female,-83,,64,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,7,24,27,,0,,14,14,0,ial,-12,,,,,initial,FALSE,FALSE,2,-2,,FALSE,34
6,6,115,milking,female,-81,,41,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,7,31,34,,0,0,4,4,0,s,,,,,,,TRUE,FALSE,2,-9,,FALSE,34
9,9,106,milking,female,-72,,51,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,6,27,30,,0,,9,9,0,ial,33,,,,,insects,FALSE,FALSE,2,-4,,FALSE,34
12,12,98,milking,female,-64,,155,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,6,24,27,,0,0,17,17,0,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,34
